id,releasedate,title,genre,budget,revenue,year,has_trailer
352,2013-04-05,6 Souls,Horror,,$0,2013,False
353,2015-08-18,6 Years,Drama,,$0,2015,False
354,2016-07-05,600 Millas,Thriller/Suspense,,$0,2016,False
355,2017-12-31,666 Cin Musallatı,Horror,,$0,2017,False
356,2016-12-31,68 Kill,Thriller/Suspense,,$0,2016,False
357,2014-12-31,6IX,,,$0,2014,False
358,2000-11-17,The 6th Day,Action,"$82,000,000","$34,543,701",2000,False
359,2014-02-07,7 cajas,Action,,$0,2014,False
360,2015-08-28,7 Chinese Brothers,Comedy,,"$28,180",2015,False
361,2007-08-17,7 días,Comedy,,"$16,791",2007,False
362,2007-12-31,Il 7 E L'8,,,$0,2007,False
363,2012-06-26,7 gwanggu,Multiple Genres,,$0,2012,False
364,2015-12-31,7 Letters,,,$0,2015,False
365,2015-06-26,7 Minutes,Thriller/Suspense,,$0,2015,False
366,2016-12-31,7 Minuti,Drama,,$0,2016,False
367,2017-04-21,7 Witches,Horror,,"$31,100",2017,False
368,2006-12-31,7 Zwerge - Der Wald Ist Nicht Genug,Comedy,,$0,2006,False
369,2014-10-21,700 Sundays,Concert/Performance,,$0,2014,False
370,2015-02-27,’71,Thriller/Suspense,,"$1,270,847",2015,True
371,2010-07-30,71: Into the Fire,Drama,,"$159,335",2010,False
372,2015-12-31,72 Hours,Drama,,$0,2015,False
373,2016-04-12,7500,Thriller/Suspense,,$0,2016,False
374,2015-07-31,Der 7bte Zwerg,Adventure,,$0,2015,True
375,2003-01-17,7th Street,Documentary,,"$15,629",2003,False
376,2010-12-31,7X,,,$0,2010,False
377,1963-06-25,8½,Drama,,"$50,690",1963,False
378,2000-05-26,8½ Women,Drama,,"$417,517",2000,False
379,2005-10-13,8 Dates a Week,Romantic Comedy,,$0,2005,False
380,2015-10-13,8 Days,Drama,"$2,500,000",$0,2015,False
381,2002-09-20,8 femmes,Musical,"$8,000,000","$3,076,425",2002,False
382,2006-11-17,8 Films to Die For,Horror,,"$2,310,680",2006,False
383,1997-04-18,8 Heads in a Duffel Bag,Black Comedy,"$3,000,000","$3,602,884",1997,False
384,2015-12-31,8 luchshikh svidaniy,Comedy,,$0,2015,False
385,2002-11-08,8 Mile,Drama,"$41,000,000","$116,724,075",2002,False
386,1986-04-25,8 Million Ways to Die,Action,"$18,000,000","$1,305,114",1986,False
387,2015-12-31,8 novykh svidaniy,Comedy,,$0,2015,False
388,1994-02-25,8 Seconds,Drama,,"$19,582,455",1994,False
389,2010-06-18,8: The Mormon Proposition,Documentary,"$2,500,000","$100,280",2010,False
390,2015-12-31,8 Tiros,Action,,$0,2015,False
391,2009-12-31,8 x 10 Tasveer,,,$0,2009,False
392,2004-10-29,800 balas,Comedy,,$866,2004,False
393,2016-12-09,808,Documentary,,$0,2016,False
394,1987-02-13,84 Charing Cross Road,Drama,,"$1,083,486",1987,False
