imdbid,bech-title,bech-rating,imdb-Title,imdb-Year,key
289043,28 Days Later...,3,28 Days Later...,2002,28daysl02ater
120804,Resident Evil,3,Resident Evil,2002,residen02evil
265651,Ripley's Game,1,Ripley's Game,2002,ripley'02game
145487,Spider-Man,1,Spider-Man,2002,spider-02-man
310775,Sympathy for Mr. Vengeance,3,Sympathy for Mr. Vengeance,2002,#N/A
301199,Dirty Pretty Things,3,Dirty Pretty Things,2002,dirtypr02ings
296166,Real Women Have Curves,3,Real Women Have Curves,2002,realwom02rves
289765,Red Dragon,1,Red Dragon,2002,reddrag02agon
288439,Bang Bang You're Dead,1,Bang Bang You're Dead,2002,bangban02dead
303816,Cabin Fever,3,Cabin Fever,2002,cabinfe02ever
307901,25th Hour,2,25th Hour,2002,25thhou02hour
258000,Panic Room,3,Panic Room,2002,panicro02room
334754,Yossi & Jagger,2,Yossi & Jagger,2002,yossi&j02gger
301978,Ten,3,Ten,2002,ten14ten
302674,Gerry,0,Gerry,2002,gerry02erry
293662,"Transporter, The",0,The Transporter,2002,transpo02rter
253867,"Sweetest Thing, The",3,The Sweetest Thing,2002,sweetes02hing
279113,"Good Girl, The",3,The Good Girl,2002,goodgir02girl
280460,"Banger Sisters, The",3,The Banger Sisters,2002,bangers02ters
274812,Secretary,3,Secretary,2002,secreta02tary
303678,Armitage: Dual Matrix,1,Armitage III: Dual Matrix,2002,#N/A
253474,"Pianist, The",1,The Pianist,2002,pianist02nist
287717,Spy Kids 2: Island of Lost Dreams,3,Spy Kids 2: Island of Lost Dreams,2002,spykids02eams
313737,Two Weeks Notice,3,Two Weeks Notice,2002,twoweek02tice
284034,demonlover,3,Demonlover,2002,demonlo02over
278500,"Importance of Being Earnest, The",3,The Importance of Being Earnest,2002,importa02nest
253754,Star Trek: Nemesis,1,Star Trek: Nemesis,2002,startre02esis
278731,Spider,2,Spider,2002,spider02ider
277296,"Scorpion King, The",0,The Scorpion King,2002,scorpio02king
244283,"Vagina Monologues, The",0,The Vagina Monologues,2002,#N/A
294425,Cadet Kelly,3,Cadet Kelly,2002,#N/A
250797,Unfaithful,3,Unfaithful,2002,unfaith02hful
265349,"Mothman Prophecies, The",2,The Mothman Prophecies,2002,mothman02cies
282120,"Wild Thornberrys Movie, The",3,The Wild Thornberrys Movie,2002,wildtho02ovie
295725,Time Changer,0,Time Changer,2002,timecha02nger
338564,Infernal Affairs,1,Infernal Affairs,2002,#N/A
291213,Big Girls Don't Cry,3,Big Girls Don't Cry,2002,#N/A
256415,Sweet Home Alabama,1,Sweet Home Alabama,2002,sweetho02bama
270288,Confessions of a Dangerous Mind,2,Confessions of a Dangerous Mind,2002,confess02mind
285627,Is It College Yet?,3,Daria in 'Is It College Yet?',2002,#N/A
133240,Treasure Planet,3,Treasure Planet,2002,treasur02anet
300532,Blue Crush,3,Blue Crush,2002,bluecru02rush
297884,Far from Heaven,3,Far from Heaven,2002,farfrom02aven
168786,Antwone Fisher,1,Antwone Fisher,2002,antwone02sher
