key,title,year,opening_date,releasemonth,releaseweekday,releaseweeknumber,total_gross,adjusted_gross,nVotes,userscore,metascore,metacritic_user_score,studio,total_theaters,opening_gross,adjusted_opening_gross,opening_theaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier
emporte99-moi,Set Me Free,2000,4/14/00,April,Friday,15,74052,102248.3905,756,7.1,80,7.4,AL,1,4905,6772.651051,1,12210,Set Me Free,2000,Emporte-moi,1999,1.38076474
girlnex99door,The Girl Next Door [2000],2000,4/14/00,April,Friday,15,771712,1065552.719,706,6.3,69,7,Indic.,5,25807,35633.39565,5,122101,The Girl Next Door,2000,The Girl Next Door,1999,1.38076474
keeping00aith,Keeping the Faith,2000,4/14/00,April,Friday,15,37047880,51154406.4,44462,6.4,60,8.7,BV,2171,8078671,11154744.06,2152,122100,Keeping the Faith,2000,Keeping the Faith,2000,1.38076474
whereth00eyis,Where the Money Is,2000,4/14/00,April,Friday,15,5661798,7817611.045,4483,6.3,49, ,USA,1538,2513530,3470593.597,1538,122100,Where the Money Is,2000,Where the Money Is,2000,1.38076474
croupie98pier,Croupier,2000,4/21/00,April,Friday,16,6201143,8562319.603,15569,7.2,75,7.2,TSG,141,63472,87639.89959,19,12210,Croupier,2000,Croupier,1998,1.38076474
gossipi00sipi,Gossip,2000,4/21/00,April,Friday,16,5108820,7054078.52,12399,5.9,31,1,WB,1525,2321729,3205761.54,1525,122100,Gossip,2000,Gossip,2000,1.38076474
lastsep99mber,The Last September,2000,4/21/00,April,Friday,16,478053,660078.7264,669,6.1,69, ,Trim.,56,85581,118167.2272,28,122100,The Last September,2000,The Last September,1999,1.38076474
love&ba00ball,Love & Basketball,2000,4/21/00,April,Friday,16,27459615,37915268.17,14001,7.2,70,8.9,NL,1245,8139180,11238292.76,1237,12112,Love & Basketball,2000,Love & Basketball,2000,1.38076474
u-57100-571,U-571,2000,4/21/00,April,Friday,16,77122415,106487911.3,64672,6.6,62,6.8,Uni.,2820,19553310,26998521,2583,23100,U-571,2000,U-571,2000,1.38076474
virgins99ides,The Virgin Suicides,2000,4/21/00,April,Friday,16,4906229,6774348.011,114936,7.2,76,7.6,ParC,275,235122,324648.1673,18,12210,The Virgin Suicides,2000,The Virgin Suicides,1999,1.38076474
bigkahu99huna,The Big Kahuna,2000,4/28/00,April,Friday,17,3165544,4370871.539,11945,6.7,56,7.3,Lions,309,80957,111782.5711,8,12100,The Big Kahuna,2000,The Big Kahuna,1999,1.38076474
bossano00nova,Bossa Nova,2000,4/28/00,April,Friday,17,1823297,2517544.209,1548,6.5,57, ,Sony,59,48011,66291.89594,9,12101,Bossa Nova,2000,Bossa Nova,2000,1.38076474
committ00tedi,Committed,2000,4/28/00,April,Friday,17,40361,55729.04568,3135,5.2,44,8.7,Mira.,13,11452,15812.51781,6,1211000,Committed,2000,Committed,2000,1.38076474
flintst00egas,The Flintstones in Viva Rock Vegas,2000,4/28/00,April,Friday,17,35268275,48697190.57,15188,3.6,27,5.1,Uni.,3125,10518435,14523484.17,3040,1111100000,The Flintstones in Viva Rock Vegas,2000,The Flintstones in Viva Rock Vegas,2000,1.38076474
