key,title,releaseyear,opening_date,releasemonth,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,studio,totaltheaters,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
softfru99ruit,Soft Fruit,2000,3/17/2000,March,Friday,11,13654,19255.3301869159,489,6.6,56,R,-1,Australia,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FoxS,1, , , ,0000012111,Soft Fruit,2000,Soft Fruit,1999,1.41023364485981,Metacritic,"Less than $100,000","101-1,000 votes",Dump month
romeomu00tdie,Romeo Must Die,2000,3/22/2000,March,Wednesday,12,55973336,78935481.642243,58815,6.1,52,R,25000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,WB,2641,18014503,25404658.226028,2641,0000122100,Romeo Must Die,2000,Romeo Must Die,2000,1.41023364485981,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
wakingt00dead,Waking the Dead,2000,3/22/2000,March,Wednesday,12,270745,381813.70817757,6093,6.7,59,R,8500000,USA,English,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,USA,62,150422,212130.165327103,62,0000012111,Waking the Dead,2000,Waking the Dead,2000,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
buddybo99yboy,Buddy Boy,2000,3/24/2000,March,Friday,12,12597,17764.7132242991,917,6.4,36,R,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FL,3,3651,5148.76303738318,2,0000011111,Buddy Boy,2000,Buddy Boy,1999,1.41023364485981,Metacritic,"Less than $100,000","101-1,000 votes",Dump month
hereone00arth,Here on Earth,2000,3/24/2000,March,Friday,12,10522168,14838715.3304673,7591,5.1,25,PG-13,15000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fox,1713,4510705,6361147.95303738,1712,0001111000,Here on Earth,2000,Here on Earth,2000,1.41023364485981,Metacritic,$10-100 million,"1,001-10,000 votes",Dump month
suchalo98rney,Such a Long Journey,2000,3/24/2000,March,Friday,12,92569,130543.918271028,416,7.3,74, ,-1,UK,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sony,19,52466,73989.318411215,16,0000002211,Such a Long Journey,2000,Such a Long Journey,1998,1.41023364485981,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
whateve00akes,Whatever It Takes,2000,3/24/2000,March,Friday,12,8745680,12333452.1831776,8308,5.5,20,PG-13,32000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Sony,2272,4104298,5788019.12813084,2272,0001221000,Whatever It Takes,2000,Whatever It Takes,2000,1.41023364485981,Metacritic,$10-100 million,"1,001-10,000 votes",Dump month
filthan00fury,The Filth and the Fury,2000,3/29/2000,March,Wednesday,13,612192,863333.755514019,5023,7.7,82,R,-1,UK,English,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FL,29,13305,18763.1586448598,1,0000002311,The Filth and the Fury,2000,The Filth and the Fury,2000,1.41023364485981,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
highfid00lity,High Fidelity,2000,3/31/2000,March,Friday,13,27287137,38481238.6692991,148270,7.5,79,R,30000000,UK,English,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,BV,1231,6429107,9066542.99780374,1183,0000002311,High Fidelity,2000,High Fidelity,2000,1.41023364485981,Metacritic,$10-100 million,"More than 100,000 votes",Dump month
priceof00lory,Price of Glory,2000,3/31/2000,March,Friday,13,3440228,4851525.27158879,735,6.4,32,PG-13,18000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NL,807,1611833,2273061.12649533,802,0000111101,Price of Glory,2000,Price of Glory,2000,1.41023364485981,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
